1	3	1
1	7	1
1	11	1
1	13	1
1	17	1
1	19	1
1	29	1
1	57	1
1	61	1
1	69	1
2	4	1
2	8	1
2	12	1
2	14	1
2	18	1
2	20	1
2	34	1
2	58	1
2	64	1
2	70	1
3	5	1
3	7	1
3	9	1
3	13	1
3	19	1
3	23	1
3	31	1
3	33	1
3	69	1
4	6	1
4	8	1
4	10	1
4	12	1
4	20	1
4	24	1
4	26	1
4	32	1
4	34	1
4	70	1
5	9	1
5	15	1
5	21	1
5	23	1
5	25	1
5	26	1
5	27	1
5	28	1
5	31	1
5	83	1
6	8	1
6	10	1
6	16	1
6	24	1
6	26	1
6	27	1
6	28	1
6	30	1
6	32	1
6	72	1
6	74	1
6	84	1
7	9	1
7	11	1
7	13	1
7	15	1
7	19	1
7	23	1
7	29	1
7	31	1
8	10	1
8	12	1
8	14	1
8	16	1
8	58	1
9	13	1
9	15	1
9	25	1
9	27	1
9	29	1
10	14	1
10	16	1
11	13	1
11	15	1
11	17	1
11	29	1
11	57	1
11	73	1
11	81	1
11	83	1
12	14	1
12	16	1
12	18	1
12	30	1
12	58	1
12	74	1
12	84	1
13	15	1
13	17	1
13	29	1
13	83	1
14	16	1
14	18	1
14	30	1
14	84	1
15	17	1
15	21	1
15	27	1
15	29	1
15	39	1
15	41	1
15	71	1
15	73	1
15	83	1
15	87	1
16	18	1
16	22	1
16	28	1
16	30	1
16	40	1
16	72	1
16	74	1
16	84	1
16	88	1
17	29	1
17	57	1
17	63	1
17	73	1
17	79	1
17	81	1
17	83	1
17	85	1
18	30	1
18	58	1
18	64	1
18	74	1
18	80	1
18	82	1
18	84	1
19	20	1
19	23	1
19	24	1
19	33	1
19	34	1
19	69	1
19	70	1
20	23	1
20	24	1
20	33	1
20	34	1
20	67	1
20	68	1
20	69	1
20	70	1
21	22	1
21	27	1
21	28	1
21	29	1
21	31	1
21	32	1
21	39	1
21	41	1
21	71	1
21	73	1
21	83	1
22	27	1
22	28	1
22	30	1
22	31	1
22	32	1
22	40	1
22	42	1
22	71	1
22	72	1
22	74	1
22	84	1
23	24	1
23	25	1
23	26	1
23	31	1
23	32	1
23	33	1
23	34	1
24	25	1
24	26	1
24	31	1
24	32	1
24	34	1
25	26	1
25	27	1
25	28	1
25	31	1
25	32	1
26	27	1
26	28	1
26	31	1
26	32	1
27	28	1
27	31	1
27	32	1
27	71	1
27	72	1
27	73	1
28	30	1
28	31	1
28	32	1
28	40	1
28	72	1
28	74	1
29	37	1
29	41	1
29	73	1
29	75	1
29	79	1
29	81	1
29	83	1
29	85	1
30	38	1
30	40	1
30	74	1
30	76	1
30	80	1
30	82	1
